item.desc,item.author.nickname,item.authorStats.followingCount,item.authorStats.followerCount,item.authorStats.heartCount
most Beautiful country Switzerland 🌿 Inshallah one day😫,ROMAN CHAUDHURY,129.0,467.0,12500.0
"সুন্দরবন এর কোলে গড়ে ওঠা অনিন্দ্য সুন্দর বনবিবি - Bonobibi Forest Resort - Sundarban 🌿🏡 একপাশে গ্রাম আর অন্যপাশে নদী, নদী পেরুলেই সুন্দরবন। 🐆 যারা নিরিবিলি সময় কাটাতে চান তাদের উপযুক্ত স্থান।  😍 ঢাকা থেকে মাত্র 04 ঘন্টায় মংলা চলে যাবেন। তারপর 40 মিনিটের ছোট একটি বোট জার্নিতে পৌছে যাবেন বনবিবি রিসোর্টে। 🤘 #sa#sajektravelgroupo#bonobibiresortu#sundarbanongla ",STG - Sajek Travel Group,2.0,730.0,5779.0
,,,,
"Lake Lungern Canton Obwalden 🇨🇭🏡 The landscape in the canton of Obwalden, which is shaped by the emerald-green Lake Lungern, appeals to hikers, water sports enthusiasts and nature lovers. In winter, numerous attractive ski areas can be reached from Lungern within a short time. The mountain village of Lungern offers relaxation, sport and adventure amidst impressive mountain ranges and an incomparable landscape. 📍Lungern Switzerland 🇨🇭 🎥 @sheikh_farid_71 #wonderful_swiss #lungern #lungernsee #lakeside #voyaged #wonderful_places #beautifuldestinations #earth #earthfocus #earthpix #roamtheplanet #dji #djiglobal #fpv #fpvdrone #vacations #travellingthroughtheworld #travelandleisure #bestplacestogo #discoverglobe #discoverearth #natgeo #reelsvideo #reelsinstagram #reels",Md. Sheikh Farid,5.0,2059.0,21600.0
জায়গাটা সুন্দর না?! 🥰 #switzerland #beautiful #destination #travelizo ,Travelizo 🇧🇩,4.0,22.0,344.0
Walking in the Beautiful nature 🌿 #beautiful #nature #beautifuldestinations #beautifulbangladesh ,abdullahalrafiii,4.0,265.0,5493.0
Glimpse of a majestic place #reelsinstagram #reels #majestic_earth #haor #sunamganj #travelgram #reelsbangladesh #beautifuldestinations #beautyfulbangladesh #reelstiktok #tiktokbangladesh ,story_of_a_shutterbug,18.0,904.0,25800.0
Cozy Coffee shop in town . . #bangladesh #dhaka #lalmatia #dhanmondi #coffee #coffeetime #beautifuldestinations #cozy ,Dr.HRID 🇧🇩,575.0,3181.0,113700.0
"Its so beautiful and scary for some of us bc something happened, story for another day 🤫 but look at the church 🤍🎚️ #CapCut #fyppppppppppppppppppppppp #bangladesh🇧🇩 #fypシ #fypage #dhaka #summervibes #explore #church #purandhaka #purandhakaplacestogo #olddhaka #beautifuldestinations ",Sin,96.0,7775.0,132800.0
top 10 most beautifull places in Bangladesh🇧🇩✅#bdtiktokofficial #bdtiktok #foryou #foryoupage #trending #trend #viral #viralvideo #viraltiktok #tiktok #top10 #most #beutifull #places #in #bangladesh #exploer #expolorepage ,❤️Itz murad. m.a❤️,4.0,10600.0,473900.0
